date,Baie au Saumon,Baie de Gaspe,Baie de plaisance,Baie des Belles Amours,Bassin du Havre Aubert,Cascapedia,Grande Riviere,Grande-Entree,Ile Bonaventure,La jetee de Cap-aux-Meules,Lagune de Havre-aux-Maisons,Marina de Cap-aux-Meules,Marina de Chandler,Marina de Gaspe,Marina de Havre Aubert,Marina de Havre St-Pierre,Marina de Rimouski,Marina de Sainte-Anne-des-Monts,Marina de Sept-iles,Marina de Tadoussac,Marina de l Anse-a-Beaufils,Marina du Havre-aux-Maisons,Mine Seleine,Mont-Louis,Newport,Port de Gros Cacouna,Port-Cartier Quai de Arcelor Mital,Quai CTMA Chandler,Quai Ivan Quinn,Quai commercial de Baie-Comeau,Quai commercial de Cap-aux-Meules,Quai de Mingan,Quai de Pointe-Basse,Quai de Sainte-Therese,Quai de la Relance,Quai des Pilotes des Escoumins,Quai des pecheurs de Cap-aux-Meules,Riviere au Renard,Site aquicole de Grande Entree,Site aquicole de Paspebiac,Site aquicole de Sept-Iles,St-Simeon,Tourelle,Tracadigache
2015-06-22,,,,,,,11.211,11.119,,,,10.726,,12.925,12.978,4.398,,,8.714,,11.453,12.025,13.505,,11.834,,,11.868,10.273,,10.361,,10.115,9.408,9.273,,,11.435,,11.155,,,,
2015-06-23,,,,,,,11.71,11.989,,,,11.101,,14.474,12.652,4.971,,,9.419,,11.894,12.61,12.677,,12.535,,,12.57,10.069,,10.459,,10.742,9.951,10.924,,,11.239,,11.309,,,,
2015-06-24,,,,,,,12.444,11.908,,,13.592,11.362,,13.529,13.107,5.618,,,9.045,,11.401,12.768,13.853,,12.746,,,12.563,10.697,,10.788,,11.25,9.082,10.422,,,10.327,,11.552,,,,
2015-06-25,,,,,,,11.151,12.491,,,14.605,11.794,,13.97,12.736,5.018,,,10.017,,10.482,13.824,12.509,,11.284,,,10.826,10.616,,10.759,,11.7,9.93,9.47,,,9.791,13.196,10.038,,,,
2015-06-26,,,,,,,11.102,12.539,,,14.387,11.051,,14.18,12.754,5.435,,,12.061,,11.49,13.323,12.78,,11.65,,,11.317,10.609,,10.252,,10.383,9.756,9.685,,,10.53,12.889,11.017,,,,
2015-06-27,,,,,,,11.742,12.81,,,15.053,11.776,,14.765,14.013,7.284,,,13.628,,11.988,13.635,13.617,,12.734,,,12.421,11.169,,11.416,,12.042,10.093,10.558,,,12.672,13.127,11.903,,,,
2015-06-28,,,,,,,12.316,13.464,,,14.948,12.92,,15.297,15.691,8.998,,,13.801,,12.539,13.927,15.541,,13.82,,,13.688,12.488,,12.704,,13.569,9.854,12.17,,,12.202,13.273,12.481,,,,
2015-06-29,,,,,,,12.732,12.811,,,14.372,12.323,,14.441,14.913,9.735,,,13.745,,11.632,13.491,14.287,,12.843,,,12.156,12.048,,12.013,,11.997,8.308,13.412,,,11.305,13.419,12.444,,,,
2015-06-30,,,,11.267,,,12.943,13.094,,,15.11,13.017,,15.218,15.21,9.725,,,13.226,,11.425,13.943,14.081,,13.039,,,13.016,12.293,,12.393,,12.612,8.866,13.316,,,11.289,13.719,12.847,,,,
2015-07-01,,22.815,,10.719,,,13.401,13.712,,,15.785,13.707,,15.829,17.18,9.789,,,13.047,,12.293,14.721,17.194,,13.877,,,13.505,13.341,,13.523,,13.466,9.576,12.641,,,12.003,14.504,13.046,,,,
2015-07-02,,20.392,,14.253,,,14.756,13.555,,,15.627,15.241,,16.369,17.889,10.197,,,13.199,,12.908,15.554,17.982,,15.034,,,14.549,15.126,,15.284,,14.273,9.644,12.259,,,12.687,14.738,13.978,,,,
2015-07-03,,18.569,,12.969,,,13.172,14.091,,,16.777,14.964,,15.761,17.174,9.804,,,13.515,,11.196,16.416,17.796,,13.373,,,13.393,13.735,,14.325,,15.112,9.025,12.619,,,10.437,14.922,11.8,,,,
2015-07-04,,22.436,,13.13,,,10.123,15.136,,,17.562,14.057,,16.24,16.545,9.832,,,13.98,,11.501,16.017,15.783,,10.527,,,10.943,12.126,,12.71,,14.239,8.84,12.239,,,11.64,15.734,9.656,,,,
2015-07-05,,20.926,,13.719,,,11.175,14.89,,,17.507,14.218,,16.332,17.105,9.249,,,14.566,,12.495,16.057,17.767,,10.463,,,10.867,13.477,,14.086,,13.736,9.371,11.939,,,12.813,15.9,8.945,,,,
2015-07-06,,21.43,,12.857,,,12.915,15.456,,,18.447,13.9,,16.715,16.679,9.406,,,11.928,,12.783,16.6,16.59,,13.221,,,13.473,12.863,,12.544,,13.762,10.05,11.66,,,13.927,16.26,10.502,,,,
2015-07-07,,21.678,,11.387,,,13.965,15.029,,,16.63,14.87,,17.212,18.642,10.421,,,12.568,,13.715,16.011,18.244,,15.672,,,15.18,14.664,,15.017,,14.989,10.205,12.474,,,14.383,16.011,14.297,,,,
2015-07-08,,21.125,,10.539,,,14.093,15.517,,,16.703,15.591,,16.65,17.912,11.409,,,12.702,,12.565,16.776,18.116,,15.548,,,15.073,15.212,,15.393,,15.89,10.6,13.189,,,13.756,15.843,14.55,,,,
2015-07-09,,21.053,,9.299,,,11.381,16.123,,,18.042,14.632,,16.622,15.88,11.131,,,13.732,,11.64,16.886,16.708,,12.925,,,12.275,13.052,,13.473,,13.528,10.011,12.41,,,13.807,16.417,11.232,,,,
2015-07-10,,21.502,,10.858,,,11.924,15.67,,,18.618,14.351,,17.494,16.971,10.881,,,13.674,,12.978,16.203,17.312,,13.164,,,12.54,13.464,,13.721,,14.778,10.805,13.377,,,14.493,16.734,13.601,,,,13.431
2015-07-11,,20.241,,11.651,,,13.197,15.765,,,19.186,15.051,,17.313,17.417,10.404,,,13.306,,13.579,17.208,17.395,,14.513,,,13.905,15.294,,14.943,,14.993,11.336,13.947,,,14.902,16.371,14.874,,,,13.183
2015-07-12,,22.29,,10.162,,,14.298,15.443,,,17.013,16.303,,17.533,17.697,10.988,,,13.746,,14.579,16.841,17.455,,15.295,,,14.562,15.952,,16.012,,15.508,11.613,15.028,,,14.634,16.35,14.385,,,,15.964
2015-07-13,,22.877,,9.876,,,15.034,15.844,,,18.424,15.869,,17.357,17.074,11.255,,,14.242,,14.912,17.669,16.411,,15.596,,,14.904,15.334,,15.208,,15.505,12.879,14.631,,,13.307,16.751,14.086,,,,16.363
2015-07-14,,23.163,,10.785,,,15.32,16.134,,,17.962,16.488,,17.794,19.492,11.291,,,14.342,,14.837,16.943,19.625,,15.544,,,15.46,16.02,,16.441,,16.825,12.945,14.397,,,12.574,17.147,15.079,,,,17.287
2015-07-15,,18.736,,11.357,,,14.729,16.909,,,18.408,17.542,,17.287,19.544,11.64,,,14.065,,12.98,18.166,19.899,,15.791,,,14.754,16.94,,17.294,,17.62,11.82,16.943,,,11.263,17.081,14.647,,,,17.936
2015-07-16,,20.684,,13.251,,,13.598,17.151,,,18.111,16.477,,16.086,16.383,11.554,,,13.331,,12.708,18.053,17.31,,13.955,,,14.119,13.924,,14.192,,14.635,12.318,16.391,,,11.505,17.348,12.125,,,,14.69
2015-07-17,,20.792,,9.297,,,14.274,16.449,,,18.36,14.906,,14.959,17.221,10.437,,,13.604,,13.214,16.625,16.479,,13.864,,,14.508,14.324,,14.321,,15.421,13.293,12.609,,,12.097,17.035,11.696,,,,12.793
2015-07-18,,17.402,,8.731,,,13.411,15.985,,,18.103,15.324,,14.728,18.07,8.415,,,12.638,,13.08,16.705,16.508,,14.515,,,13.878,14.999,,15.048,,15.76,12.595,11.558,,,12.169,16.711,13.736,,,,13.16
2015-07-19,,14.666,,8.789,,,13.401,15.745,,,17.248,15.731,,14.162,17.818,7.935,,,11.502,,13.517,16.734,17.236,,13.886,,,13.468,15.637,,15.697,,15.851,11.447,12.602,,,11.936,16.263,14.074,,,,14.914
2015-07-20,,13.439,,9.939,,,13.214,15.389,,,16.854,15.696,,13.581,16.76,8.883,,,11.517,,12.975,16.006,15.7,,13.571,,,13.127,15.742,,15.753,,15.346,10.338,11.704,,,11.469,15.623,13.918,,,,15.413
2015-07-21,,14.392,,10.468,,,13.073,15.299,,,16.793,15.61,,13.569,16.535,9.871,,,11.492,,12.431,15.732,15.782,,13.749,,,13.118,15.71,,15.751,,15.651,10.098,11.667,,,11.282,15.637,14.832,,,,15.493
2015-07-22,,15.122,,11.638,,,12.994,15.149,,,16.415,15.609,,13.58,16.695,10.699,,,11.611,,12.346,15.961,15.484,,13.989,,,13.407,15.714,,15.637,,15.189,9.63,11.514,,,10.176,15.545,15.043,,,,15.459
2015-07-23,,15.14,,11.596,,,13.563,15.2,,,16.36,15.633,,14.204,16.57,11.142,,,11.825,,12.08,15.831,15.333,,14.506,,,13.817,15.642,,15.502,,15.287,8.83,11.656,,,8.464,15.288,14.976,,,,15.921
2015-07-24,,15.967,,11.201,,,14.123,15.142,,,16.275,15.509,,14.51,16.623,11.465,,,12.419,,12.948,15.82,15.425,,15.066,,,14.241,14.949,,15.251,,14.999,7.944,11.942,,,7.834,15.321,14.625,,,,15.449
2015-07-25,,16.998,,10.869,,,14.601,14.716,,,16.1,15.486,,14.819,16.677,12.236,,,13.973,,13.84,15.544,15.71,,15.539,,,14.753,15.278,,15.23,,15.135,7.674,11.956,,,8.447,15.306,14.928,,,,15.69
2015-07-26,,20.6,,10.048,,,15.27,15.024,,,16.53,15.975,,16.472,17.904,13.117,,,14.157,,13.638,16.342,16.617,,16.125,,,15.846,15.679,,15.719,,16.026,8.021,13.86,,,9.877,15.529,15.815,,,,16.144
2015-07-27,,21.016,,9.111,,,15.191,15.417,,,16.734,16.376,,18.03,17.71,13.194,,,13.846,,12.392,16.59,17.189,,16.556,,,16.723,16.014,,16.004,,16.173,8.804,13.761,,,10.07,15.416,16.034,,,,16.409
2015-07-28,,21.178,,8.991,,,14.072,15.953,,,17.141,16.844,,18.52,18.344,13.298,,,14.789,,11.638,16.991,17.937,,15.538,,,15.317,16.341,,16.506,,16.744,8.548,14.953,,,11.177,15.814,16.614,,,,16.564
2015-07-29,,22.822,,9.601,,,14.232,15.906,,,17.876,16.842,,19.042,18.396,13.8,,,16.363,,13.162,17.943,17.844,,16.734,,,16.08,16.623,,16.326,,16.933,8.755,15.355,,,12.386,16.148,17.173,,,,16.364
2015-07-30,,20.705,,10.134,,,14.188,15.379,,,18.385,17.139,,19.148,18.474,14.145,,,15.66,,13.824,18.11,17.83,,16.561,,,15.144,16.977,,17.455,,16.978,8.742,15.05,,,13.13,16.351,17.121,,,,17.15
2015-07-31,,22.15,,14.702,,,13.736,15.416,,,18.072,18.068,,17.983,19.125,13.972,,,14.814,,12.974,18.438,18.774,,16.999,,,15.616,17.675,,17.752,,17.39,9.03,15.96,,,13.821,16.553,17.772,,,,18.045
2015-08-01,,21.917,,12.889,,,14.408,15.994,,,19.094,17.528,,18.77,18.825,13.835,,,15.651,,13.675,18.993,18.28,,16.946,,,14.951,17.094,,17.274,,16.98,9.344,15.023,,,13.973,16.557,16.974,,,,17.179
2015-08-02,,22.604,,10.963,,,13.921,16.961,,,19.162,17.557,,18.604,19.927,13.927,,,16.719,,12.317,19.394,18.753,,14.412,,,13.825,16.14,,16.938,,18.199,9.587,14.899,,,14.91,17.371,11.376,,,,16.21
2015-08-03,,22.387,,11.328,,,13.296,17.133,,,19.868,15.984,,17.129,20.969,12.946,,,15.516,,11.896,18.526,20.555,,13.153,,,12.763,14.463,,15.367,,16.559,9.276,14.461,,,14.343,17.713,11.002,,,,16.401
2015-08-04,,22.341,,14.94,,,15.262,17.355,,,19.085,16.575,,17.892,21.399,12.458,,,14.877,,12.87,18.212,21.882,,15.391,,,15.527,16.093,,16.508,,17.137,10.153,15.41,,,15.31,17.519,12.901,,,,16.98
2015-08-05,,22.676,,12.928,,,14.708,17.812,,,19.848,16.751,,18.532,19.952,12.399,,,16.48,,13.984,19.285,21.594,,16.583,,,15.098,15.22,,16.308,,17.297,10.106,15.935,,,15.899,18.283,13.487,,,,15.813
2015-08-06,,22.323,,12.207,,,12.981,18.128,,,20.435,15.599,,18.696,19.694,12.225,,,17.024,,14.76,18.68,19.458,,14.099,,,14.35,13.528,,14.456,,15.727,10.304,16.294,,,16.129,19.346,10.946,,,,13.46
2015-08-07,,20.596,,11.212,,,13.699,18.028,,,20.478,13.732,,19.033,19.249,12.024,,,15.067,,15.309,17.328,19.164,,14.568,,,13.808,12.871,,12.673,,14.291,11.781,15.295,,,15.861,19.288,10.651,,,,11.354
2015-08-08,,18.964,,10.62,,,15.079,17.961,,,20.148,14.858,,17.931,19.574,12.212,,,15.594,,16.428,17.861,20.194,,14.703,,,14.847,15.383,,15.376,,16.532,12.206,15.115,,,15.028,19.094,14.658,,,,15.256
2015-08-09,,20.208,,10.839,,,15.66,18.099,,,19.076,16.201,,18.29,19.439,12.222,,,15.804,,17.048,18.414,19.788,,16.183,,,16.008,16.465,,16.364,,17.125,12.819,15.587,,,15.504,18.325,16.999,,,,17.048
2015-08-10,,22.362,,12.043,,,16.244,18.183,,,19.04,17.016,,18.067,18.562,12.017,,,16.722,,17.477,18.495,18.96,,17.329,,,16.489,16.985,,16.883,,17.882,13.049,15.292,,,15.878,18.42,15.847,,,,17.434
2015-08-11,,23.47,,11.565,,,16.966,18.85,,,19.534,17.9,,18.436,19.83,12.428,,,16.84,,16.842,19.027,20.07,,17.414,,,16.964,17.529,,17.778,,18.459,14.215,15.309,,,15.845,18.582,16.816,,,,17.318
2015-08-12,,17.756,,12.549,,,16.259,18.838,,,19.501,18.223,,18.188,19.749,12.664,,,16.081,,15.97,18.942,20.047,,16.968,,,16.223,18.004,,18.006,,18.22,11.431,15.957,,,16.075,18.576,16.999,,,,17.404
2015-08-13,,23.704,,13.879,,,16.503,18.697,,,19.6,18.431,,19.071,20.104,12.949,,,15.605,,15.596,19.164,19.664,,17.302,,,16.746,18.01,,18.298,,18.759,12.553,15.987,,,15.863,18.631,17.173,,,,17.85
2015-08-14,,23.147,,11.796,,,16.843,19.05,,,20.255,19.066,,19.456,20.716,13.884,,,16.717,,15.643,20.444,20.318,,17.628,,,17.213,17.826,,18.297,,19.854,13.426,15.238,,,16.126,18.875,16.745,,,,17.993
2015-08-15,,25.349,,11.878,,,15.482,19.35,,,20.87,18.886,,20.196,21.202,14.272,,,17.126,,16.556,20.703,20.495,,16.699,,,15.85,16.999,,17.645,,20.047,13.616,15.356,,,17.274,19.326,15.086,,,,17.12
2015-08-16,,24.817,,12.064,,,16.442,18.686,,,21.147,18.522,,19.715,21.653,14.101,,,16.46,,17.216,20.552,21.156,,16.318,,,16.255,16.914,,17.633,,19.32,12.853,15.558,,,16.908,19.886,15.325,,,,17.04
2015-08-17,,23.177,,12.119,,,17.115,19.292,,,21.135,18.046,,20.372,22.287,12.123,,,16.636,,16.713,20.628,22.253,,16.941,,,16.646,17.128,,17.659,,20.096,12.654,14.05,,,17.65,20.432,15.409,,,,16.062
2015-08-18,,20.906,,12.477,,,17.516,19.906,,,21.928,18.054,,20.95,22.501,10.688,,,16.476,,17.043,21.259,22.029,,18.087,,,18.138,16.945,,17.248,,19.571,13.071,15.361,,,17.549,20.946,15.692,,,,15.581
2015-08-19,,19.954,,13.326,,,17.605,20.136,,,22.403,18.591,,20.734,23.242,10.087,,,14.617,,17.672,20.792,23.605,,18.73,,,18.01,18.72,,19.039,,19.582,13.672,14.836,,,17.307,21.157,17.05,,,,19.04
2015-08-20,,20.135,,12.187,,,18.327,20.471,,,21.985,20.654,,20.627,23.922,11.266,,,14.899,,17.87,21.96,23.35,,19.196,,,18.61,20.324,,20.588,,20.958,15.319,15.547,,,17.727,21.107,18.743,,,,19.904
2015-08-21,,20.832,,12.186,,,17.584,20.769,,,22.208,21.363,,20.631,23.875,13.207,,,15.428,,16.898,22.522,23.598,,19.187,,,18.595,20.753,,21.036,,21.751,14.419,15.375,,,17.225,21.074,19.373,,,,21.261
2015-08-22,,21.536,,12.622,,,16.895,21.453,,,22.745,21.196,,21.68,22.684,14.355,,,16.87,,15.948,22.821,23.91,,18.87,,,18.152,19.844,,20.458,,22.083,14.36,15.822,,,17.99,21.671,18.132,,,,21.359
2015-08-23,,21.63,,13.245,,,16.664,21.468,,,23.479,19.187,,21.495,20.83,14.708,,,17.68,,17.038,22.945,23.141,,17.369,,,17.376,19.219,,18.936,,20.619,14.63,15.827,,,18.099,22.016,18.735,,,,20.155
2015-08-24,,21.248,,14.288,,,16.916,21.501,,,23.06,19.841,,21.118,21.657,14.617,,,17.48,,17.173,21.687,23.143,,18.332,,,17.915,19.869,,19.933,,20.015,14.357,16.47,,,17.646,22.175,20.087,,,,19.552
2015-08-25,,20.593,,16.902,,,18.26,21.431,,,22.732,20.413,,20.578,22.194,14.305,,,18.086,,18.569,21.614,23.08,,19.393,,,19.289,20.44,,20.538,,21.017,15.78,17.927,,,17.091,21.807,21.263,,,,21.148
2015-08-26,,20.43,,16.268,,,20.024,21.528,,,22.548,21.132,,20.506,22.401,15.045,,,17.803,,19.039,21.817,22.724,,20.446,,,20.193,20.772,,20.936,,21.5,15.704,18.721,,,16.748,21.645,21.513,,,,21.194
2015-08-27,,20.424,,15.526,,,19.964,20.819,,,22.222,20.634,,20.528,20.181,16.12,,,18.205,,18.028,20.629,21.033,,19.272,,,18.992,20.756,,20.52,,20.556,14.156,18.113,,,16.096,20.95,19.965,,,,21.365
2015-08-28,,20.12,,15.411,,,17.678,20.677,,,21.567,20.552,,20.226,19.741,15.836,,,17.587,,15.022,20.42,20.693,,16.19,,,16.46,19.884,,20.048,,20.209,14.403,16.691,,,15.441,20.534,11.926,,,,20.811
2015-08-29,,18.792,,14.862,,,14.842,20.494,,,21.33,20.194,,17.67,20.328,12.746,,,17.024,,15.421,19.764,20.733,,15.498,,,14.319,19.18,,19.459,,19.796,13.971,15.643,,,15.361,20.57,9.137,,,,17.651
2015-08-30,,17.615,,15.183,,,15.709,19.935,,,21.344,19.994,,17.393,20.803,8.599,,,16.049,,15.302,20.554,20.195,,15.015,,,15.378,19.182,,19.223,,20.179,15.146,15.69,,,15.642,20.33,9.821,,,,14.09
2015-08-31,,17.221,,15.15,,,16.24,20.242,,,21.02,19.956,,17.234,21.284,7.302,,,15.496,,15.712,20.575,21.111,,15.971,,,16.64,19.156,,19.29,,20.641,14.656,16.224,,,15.286,19.914,14.288,,,,13.007
2015-09-01,,15.546,,14.318,,,15.155,19.369,,,18.922,16.85,,16.357,18.939,6.587,,,12.909,,15.641,18.355,19.742,,15.153,,,15.088,15.49,,15.165,,16.689,14.32,15.721,,,14.769,19.236,14.791,,,,11.938
2015-09-02,,15.669,,13.094,,,15.581,18.454,,,18.642,15.824,,16.403,17.84,6.251,,,14.07,,15.625,16.508,18.484,,16.362,,,16.342,15.33,,15.465,,16.418,13.89,13.937,,,15.368,18.559,15.903,,,,12.139
2015-09-03,,15.268,,13.325,,,15.85,18.53,,,18.061,16.313,,15.683,18.256,6.24,,,12.129,,15.823,17.142,18.484,,15.903,,,16.04,15.961,,16.016,,17.687,14.432,15.185,,,15.261,18.364,15.585,,,,13.236
2015-09-04,,14.896,,13.341,,,15.367,17.834,,,17.33,16.265,,15.226,17.207,6.223,,,11.119,,15.729,16.496,17.929,,15.567,,,15.057,15.762,,16.001,,17.2,14.276,13.213,,,14.981,17.944,15.306,,,,14.387
2015-09-05,,15.199,,12.613,,,15.583,17.667,,,17.726,16.489,,15.153,17.238,6.532,,,12.407,,16.028,16.82,17.64,,15.989,,,15.611,16.089,,16.223,,17.113,14.832,11.787,,,15.356,17.632,15.179,,,,13.797
2015-09-06,,15.274,,10.72,,,16.037,17.857,,,17.775,16.838,,15.504,17.899,6.482,,,11.996,,16.056,17.379,17.773,,16.399,,,15.853,16.709,,16.679,,17.463,14.908,11.913,,,15.513,17.701,16.311,,,,14.643
2015-09-07,,15.556,,11.179,,,16.337,18.307,,,18.17,17.53,,15.584,18.846,5.979,,,12.569,,16.336,18.283,18.499,,17.119,,,16.23,17.211,,17.241,,18.309,14.548,12.738,,,15.789,18.002,17.415,,,,15.481
2015-09-08,,15.821,,10.177,,,15.754,18.329,,,18.341,17.722,,16.113,18.584,6.081,,,12.763,,16.254,18.063,18.375,,15.764,,,15.659,17.436,,17.478,,17.614,14.289,13.396,,,15.727,18.137,16.483,,,,15.27
2015-09-09,,15.642,,10.213,,,15.745,17.997,,,18.251,17.532,,15.483,18.276,6.842,,,12.829,,15.491,17.673,17.801,,16.165,,,15.864,17.376,,17.332,,17.116,14.019,13.265,,,14.307,17.89,16.284,,,,15.968
2015-09-10,,15.976,,10.94,,,16.064,18.331,,,18.46,18.042,,16.164,18.607,8.306,,,12.782,,15.238,18.542,17.81,,16.445,,,16.071,17.58,,17.74,,18.225,14.66,13.409,,,14.066,17.942,16.074,,,,16.524
2015-09-11,,15.847,,11.042,,,15.769,18.066,,,18.43,17.882,,15.65,18.262,8.961,,,12.181,,15.22,18.223,17.78,,16.083,,,15.94,17.535,,17.624,,17.701,14.212,12.699,,,13.766,17.928,16.118,,,,16.566
2015-09-12,,15.677,,11.205,,,15.557,17.892,,,18.153,17.828,,15.33,18.226,9.507,,,12.225,,14.299,17.742,17.675,,16.024,,,15.867,17.51,,17.527,,17.679,13.969,12.278,,,13.305,17.76,15.998,,,,16.441
2015-09-13,,15.502,,10.141,,,15.533,17.6,,,17.794,17.522,,15.406,17.796,10.411,,,13.117,,14.511,17.392,17.738,,16.587,,,14.769,17.3,,17.283,,17.351,13.943,12.117,,,13.099,17.59,16.121,,,,16.243
2015-09-14,,15.424,,11.471,,,15.142,17.445,,,17.759,17.361,,15.225,17.688,11.071,,,11.963,,14.138,17.219,17.312,,16.224,,,14.85,17.13,,17.244,,17.02,,12.279,,,12.895,17.384,15.728,,,,16.203
2015-09-15,,15.616,,11.9,,,15.02,17.383,,,17.471,17.253,,15.513,17.649,11.947,,,11.691,,14.168,17.096,17.32,,16.273,,,,17.19,,17.171,,17.067,,12.812,,,12.956,17.292,15.597,,,,16.365
2015-09-16,,15.616,,11.647,,,15.201,17.326,,,17.409,17.219,,15.581,17.458,12.319,,,11.488,,15.086,17.078,17.371,,16.66,,,,17.041,,17.101,,17.374,,12.865,,,13.278,17.205,15.545,,,,16.187
2015-09-17,,16.26,,10.951,,,15.363,17.55,,,17.701,17.48,,16.283,17.951,12.541,,,11.966,,15.204,17.738,17.463,,17.119,,,,17.188,,17.34,,17.787,,13.08,,,13.509,17.35,15.72,,,,16.293
2015-09-18,,16.234,,10.619,,,15.209,17.905,,,18.156,17.799,,16.382,18.782,12.406,,,11.778,,14.901,18.403,18.031,,16.139,,,,17.575,,17.606,,18.068,,12.043,,,13.818,17.592,15.728,,,,16.666
2015-09-19,,16.545,,10.913,,,15.494,18.238,,,18.441,18.166,,16.392,19.445,12.811,,,11.02,,15.15,18.768,18.867,,16.446,,,,17.776,,17.904,,18.455,,11.577,,,13.101,17.896,15.955,,,,16.851
2015-09-20,,16.118,,10.863,,,15.593,18.499,,,18.775,18.62,,15.885,19.625,13.289,,,11.582,,14.518,19.024,19.33,,16.279,,,,18.284,,18.414,,18.974,,11.765,,,11.525,18.268,15.646,,,,16.588
2015-09-21,,15.698,,10.299,,,13.766,17.729,,,18.055,17.981,,15.462,17.732,12.818,,,11.846,,13.647,17.381,18.1,,14.519,,,,17.411,,17.581,,16.321,,11.559,,,11.07,17.795,13.485,,,,16.142
2015-09-22,,15.377,,10.244,,,13.923,17.158,,,17.831,17.473,,15.13,17.356,12.654,,,11.997,,14.349,16.785,17.84,,14.5,,,,16.744,,17.158,,16.892,,11.726,,,11.233,17.46,13.902,,,,16.083
